TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
SBER;D;01/03/21;000000;273;274.73;271.13;273.58;35741070
SBER;D;02/03/21;000000;271.89;280;271.6;279.1;71481180
SBER;D;03/03/21;000000;281.7;283.83;277.63;278.01;64113880
SBER;D;04/03/21;000000;278.53;281.96;273.63;274.75;91841080
SBER;D;05/03/21;000000;276.12;278.98;272.76;277.5;83301590
SBER;D;09/03/21;000000;278.71;286.38;277.56;285.79;72592390
SBER;D;10/03/21;000000;285.23;288;281;282.24;55067560
SBER;D;11/03/21;000000;283.86;286.38;282.3;286;47203100
SBER;D;12/03/21;000000;286.3;287.49;282.82;284.93;51362640
SBER;D;15/03/21;000000;286.07;292.92;285.28;292.74;67756210
SBER;D;16/03/21;000000;293.07;293.88;288.61;292.33;53891160
SBER;D;17/03/21;000000;292.38;293.25;279.6;283.35;110247040
SBER;D;18/03/21;000000;284.06;285.79;278.24;279.25;74060790
SBER;D;19/03/21;000000;279;286.31;278.03;285.47;84214320
SBER;D;22/03/21;000000;285;291.2;283.08;288.65;62697960
SBER;D;23/03/21;000000;287.6;288.3;282.11;282.6;70668340
SBER;D;24/03/21;000000;283.3;288;282.25;285.79;46388650
SBER;D;25/03/21;000000;286.33;287.03;283.85;286.66;35114120
SBER;D;26/03/21;000000;288.6;292.75;288.32;291.22;55889260
SBER;D;29/03/21;000000;289.72;294.09;289.26;293.3;43631060
SBER;D;30/03/21;000000;294.6;295.72;291.5;293.25;38637210
SBER;D;31/03/21;000000;294;294.42;290.26;291.02;46972400
SBER;D;01/04/21;000000;292;294.72;288.43;290.24;51532880
SBER;D;02/04/21;000000;290.81;292.4;289.14;291.7;19262050
SBER;D;05/04/21;000000;290.8;291.48;287.07;288.78;35298970
SBER;D;06/04/21;000000;289;289.43;281.37;281.5;77497430
SBER;D;07/04/21;000000;281.66;284.29;278.54;283.98;74087530
SBER;D;08/04/21;000000;284.62;286.2;282.17;283.89;51161440
SBER;D;09/04/21;000000;283.44;283.79;280.09;281.07;40018040
SBER;D;12/04/21;000000;278.21;285.35;278;281.75;57020860
SBER;D;13/04/21;000000;282.9;288.2;281.14;287.95;67878750
SBER;D;14/04/21;000000;290;291.58;286.72;287.18;58993600
SBER;D;15/04/21;000000;281.5;285.19;280.87;283.72;87528200
SBER;D;16/04/21;000000;285.7;289.3;284.08;288.5;63355410
SBER;D;19/04/21;000000;287.9;289.25;286.04;287.72;51231790
SBER;D;20/04/21;000000;288.9;290.92;286.59;287.42;63069010
SBER;D;21/04/21;000000;288.04;290.2;287.06;289.25;49661560
SBER;D;22/04/21;000000;289.04;294.67;286.93;292.18;73621930
SBER;D;23/04/21;000000;293.16;294.2;290.78;293.19;42551750
SBER;D;26/04/21;000000;294.3;296.48;293.1;295.27;45676020
